,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
0,Haley Reed,https://www.pornhub.com/pornstar/haley-reed,234,424,419000000,https://ei.phncdn.com/pics/users/359/743/661/avatar1501347014/(m=eQJ6GCjadOf)(mh=vfR2lRJTp_uT4n_U)200x200.jpg,True,False,"Haley Reed  the porno life when she was 20 years old in 2016. She prides herself on being a girl next door and she hasnt had many body enhancements. Standing 510"", Haley couldve been a model in fashion publications or the like but chose to do porn because she was just so dang horny all the time! Weighing 123lbs, she has a nice pair of natural 34B breasts, a 24"" waist and a 35"" ass. She got into porn because she simply wanted to. She looked online and found an agent who wanted to work with her. Before porn, Haley was working at a valet business where she took a weekend off to do her first porn shoot. When she quit, she simply told her boss that she had started modeling – not that she was doing porn – because she worked with dudes who would swoon over her if they found out she did smut. She also worked at a restaurant and a sex store for one season, and she tried being a stripper for a few days but she didnt like it because she hated pandering to all the unlikable guys. In porn, though, theres plenty of hot male talent so she hasnt really had to deal with any undesirables. > Staying busy since her debut, Haley has started to do anal sex, and we can assume she likes it, given that her Snapchat name is GapeNinja! Haley can squirt from time to time, and she doesnt mind getting a facial cumshot when her mood calls for it.","['Mommys Girl', 'All Anal All The Time', 'My Family Pies']","{'Official Site': 'https://onlyfans.com/misshaleyreedx', 'Twitter': 'https://www.twitter.com/HaleyReedX', 'Instagram': 'https://www.instagram.com/TheHaleyReed'}","{'Relationship status': 'Single', 'Interested in': 'Guys and Girls', 'City and Country': 'Los Angeles, US', 'Pornstar Profile Views': '25,642,813', 'Career Status': 'Active', 'Career Start and End': 'to                        Present', 'Gender': 'Female', 'Birth Place': 'Florida, United States of America', 'Star Sign': 'Sagittarius', 'Measurements': '34B-24-31', 'Height': '5 ft 10 in (178 cm)', 'Weight': '123 lbs (56 kg)', 'Ethnicity': 'White', 'Hair Color': 'Blonde', 'Fake Boobs': 'No', 'Tattoos': 'Yes', 'Piercings': 'Yes', 'Profile Views': '29,039,154', 'Videos Watched': '19'}",220.0,234.0,[233],244.0,353000.0
1,Chanel Preston,https://www.pornhub.com/pornstar/chanel-preston,236,559,342000000,https://ei.phncdn.com/pics/users/306/700/812/avatar1490215202/(m=eQJ6GCjadOf)(mh=mgv38zA64Fwhw_-Q)200x200.jpg,True,False,"Chanel Preston’s picture is under the dictionary entry for ""sensual.” It’s also under ""glorious fuck model” and ""ball-busting cougar.” She’s got a supermodel body and a deep look in her eyes that makes the mainstream world want to give up the public life to have some one-on-one alone time with this fox. When Chanel poses, rocking lingerie, bikinis or soaking-wet white lace, we bet even the cameras lose focus from getting dizzied by her hotness. With everything we can say about how incredibly sexy Chanel Preston is, it’s easy to forget that deep down she is still a wonder slut who gets off on getting off for our getting-off entertainment. She could turn on a blind eunuch just by the sound of her panties dropping to the floor. So what turns Chanel on? Well, when it comes to dicks, the more the merrier, as Chanel is known to take a couple of rods at the same time and still come out a winner. Her pussy lips practically applaud when a boner pulses in its direction. Her asshole gapes for encores after a frenzy of anal fucking. Chanel loves to get nasty with her girlfriends, too, and eats pussy like it was her last meal on Earth. Well, Madame Preston isn’t going anywhere any time soon, so sit back, relax, squeeze out a handful of your favorite dick cream, and let this whore star make you feel like your body was one big pair of swollen balls about to shower the world in your pervy pleasure water.","['Brazzers', 'Wicked Pictures']","{'Twitter': 'https://www.twitter.com/Chanelpreston', 'Amazon Wishlist': 'https://www.amazon.com/hz/wishlist/ls/XQ3HL2J00CE7', 'Snapchat': 'https://www.snapchat.com/add/Chanel-preston', 'Instagram': 'https://www.instagram.com/Mychanelpreston'}","{'Relationship status': 'Open', 'Interested in': 'Guys and Girls', 'City and Country': 'Los Angeles, US', 'Pornstar Profile Views': '18,746,524', 'Career Status': 'Active', 'Career Start and End': '2010                        to                        Present', 'Gender': 'Female', 'Birth Place': 'Fairbanks, Alaska, United States of America', 'Star Sign': 'Sagittarius', 'Measurements': '32D-28-30', 'Height': '5 ft 8 in (173 cm)', 'Weight': '130 lbs (59 kg)', 'Ethnicity': 'White', 'Hair Color': 'Brunette', 'Fake Boobs': 'Yes', 'Tattoos': 'Yes', 'Piercings': 'Yes', 'Profile Views': '15,513,413'}",237.0,236.0,[232],212.0,202000.0
2,Nancy A,https://www.pornhub.com/pornstar/nancy-a,237,520,264000000,https://ei.phncdn.com/pics/users/314/932/431/avatar1616541018/(m=eQJ6GCjadOf)(mh=JRalAptxiFzTXThT)200x200.jpg,True,False,"Nancy A is a beautiful Ukrainian blonde who has been in the porn industry for a while. Like most Eastern European adult models, she has the ideal demeanor and look to be a pornstar. She is willing to give herself to every scene with abandon, and her holes can stretch to what seems like inhuman sizes in order to accommodate the cocks that she wants to please. Her blue eyes pierce into your soul and her gaze is enough to make you pop. She has been known by a few different names in the porn biz so far. If you see someone who goes by the name Jane, Nansy, Nancy, Jane F, Nancy Ambrosia, or Erika, youre most likely looking at Nancy A, especially if that chick is a beautiful blonde who is gorgeous enough to both start wars or stop them, like the famed Helen of Troy. > Nancy A is 5'4"" tall and she weighs about 103 pounds. She has nicely balanced proportions: 32C-24-33. Her juicy tits and petite waist look adorable on her small frame. Nancy has done a lot of artistic porn. These are the types of shoots where she just strips and teases the camera while taking off her clothes. However, as you will see from our collection of her movies, she also enjoys doing hardcore sex stuff like giving blowjobs and getting fucked by her guy friends. She also doesnt mind licking pussy once in a while! Most of her porn scenes are intimate and romantic, showing that she is a sweet and sexy girl who just wants to share her sexuality with the world. If she was taller, Nancy could certainly be a mainstream fashion model, but since she is on the petite side, she has chosen to go this route because she loves the feeling of being in the spotlight.","['Wow Girls', 'Ultra Films', 'LetsDoeIt']","{'Official Site': 'https://onlyfans.com/nancyace/c15', 'Twitter': 'https://x.com/nancya_official?s=21', 'Instagram': 'https://instagram.com/nancy_anastasiia?igshid=ODky'}","{'Relationship status': 'Taken', 'Interested in': 'Guys and Girls', 'City and Country': 'Budapest, HU', 'Pornstar Profile Views': '18,235,256', 'Career Status': 'Active', 'Career Start and End': 'to                        Present', 'Gender': 'Female', 'Birth Place': 'Kiev, Ukraine', 'Star Sign': 'Scorpio', 'Measurements': '31C-24-33', 'Height': '5 ft 5 in (165 cm)', 'Weight': '99 lbs (45 kg)', 'Ethnicity': 'White', 'Hair Color': 'Blonde', 'Fake Boobs': 'No', 'Profile Views': '16,418,501', 'Videos Watched': '173'}",227.0,237.0,[236],237.0,235000.0
3,Alexis Crystal,https://www.pornhub.com/pornstar/alexis-crystal,238,1083,445000000,https://ei.phncdn.com/pics/users/108/524/931/avatar1569703746/(m=eQJ6GCjadOf)(mh=5tW3YOk-7pOOj4II)200x200.jpg,True,False,"Here’s a young piece of tasty sex candy who just couldn’t wait to become an international slut sensation. Alexis Crystal was barely finished blowing out the candles on her 18th birthday cake when she started blowing cock for the cameras. Alexis was born and raised in the fabulous babe factory known as the Czech Republic, where they keep making sexy fuck minxes faster than America can grill hotdogs on the 4th of July. We know we’ve been singing the praises of Eastern European chicks for a while now, but Alexis Crystal really deserves her own Sunday Service. She’s a spunky little babe with a super fun girly giggle and a tad bit of plushy baby fat on her petite figure. Her tits are juicy little mouthfuls and her ass is two soft mounds of push cushion. That Slavic pale skin of hers is softer than a duck’s belly, and it shines and sparkles when she gets covered in a hot shot of splooge. Alexis is learning the ropes of porn pretty quickly and she’s already mastered several genres: solo play, euro slut, teen naughtiness, lesbian sex, and even artsy erotica. That said, Alexis excels most at good old-fashioned deep-throat blowjobs and hard pussy drilling. That adorable little pink fuck hole of hers can be licked and lapped for hours before you’re ready to burst in you pants. Spread that wet snatch open and it’s time for some hot Cock ‘n’ Roll in her poon heaven.","['Private', 'Life Selector', 'Female Agent']","{'Official Site': 'https://onlyfans.com/alexiscrystal/c5', 'Twitter': 'https://www.twitter.com/alexiscrystal11', 'Instagram': 'https://www.instagram.com/realalexiscrystal'}","{'Relationship status': 'Single', 'Interested in': 'Guys and Girls', 'City and Country': 'Prague, CZ', 'Pornstar Profile Views': '27,382,382', 'Career Status': 'Active', 'Career Start and End': '2011                        to                        Present', 'Gender': 'Female', 'Birth Place': 'Czech Republic', 'Star Sign': 'Capricorn', 'Measurements': '38B-25-36', 'Height': '5 ft 7 in (170 cm)', 'Weight': '110 lbs (50 kg)', 'Ethnicity': 'White', 'Hair Color': 'Blonde|Brunette', 'Fake Boobs': 'No', 'Piercings': 'Yes', 'Profile Views': '25,671,993', 'Videos Watched': '162'}",172.0,238.0,[242],250.0,263000.0
4,Gianna Michaels,https://www.pornhub.com/pornstar/gianna-michaels,239,534,84000000,https://ei.phncdn.com/pics/users/040/108/951/avatar1407099990/(m=eQJ6GCjadOf)(mh=-HGoYzM_USY-_aKh)200x200.jpg,True,False,"Take a deep breath, because here comes Gianna Michaels, the thick and juicy smother queen of porno-land. With her heaving fat rack, chunky thighs, and round mound of ass, this sex pod could force any guy to literally inhale her soft flesh when she gets on top for a dick rodeo. When she squeezes that figure into a pair of tights or a bikini, it’s your balls that will begin to burst at the seams. Gianna doesn’t bother playing the caring lover because this girl has such a demanding need for cock that only the pros have enough guts to give her. We’re sure Gianna could be a sweetheart, too, if she wants to be, but bad girls have way more fun, and naughty bitches rule! Gianna embodies the perfect combination of a natural horny slut, and a professional porno pleaser, so she’s great at her job and loves every minute of it. If only the rest of us could be so lucky. Speaking of lucky, the universal jerk-off coalition received a blessing when Gianna started introducing her anal canal to the world of throb knobbing. That’s right… after so many years of letting her twat have all the fun, she’s released the butt beast to do some dick devouring too. So between her Exxxotica Fanny Award for Most Valuable Vagina, and her rear-end reaming, not to mention her fabulous fellatio aptitude, we’re dealing with a triple threat she-minx of ridiculously raunchy stature.","['PUBA', 'Pink Kitty Video']",NA,"{'Relationship status': 'Single', 'Interested in': 'Guys and Girls', 'City and Country': 'Hollywood, US', 'Pornstar Profile Views': '39,565,472', 'Career Status': 'Active', 'Career Start and End': '2004                        to                        Present', 'Gender': 'Female', 'Birth Place': 'Seattle, Washington, United States of America', 'Star Sign': 'Gemini', 'Measurements': '34DD-27-38', 'Height': '5 ft 10 in (178 cm)', 'Weight': '146 lbs (66 kg)', 'Ethnicity': 'White', 'Hair Color': 'Blonde|Brunette', 'Fake Boobs': 'No', 'Tattoos': 'Yes', 'Piercings': 'Yes', 'Hometown': 'Seattle Washington', 'Profile Views': '14,528,452'}",248.0,239.0,[234],206.0,322000.0
5,AJ Applegate,https://www.pornhub.com/pornstar/aj-applegate,241,448,243000000,https://ei.phncdn.com/pics/users/143/332/152/avatar1601519941/(m=eQJ6GCjadOf)(mh=KMde8PmLadjmqyKJ)200x200.jpg,True,False,,"['Arch Angel Video', 'Bang Bros Network', 'Roman Video']","{'Twitter': 'https://www.twitter.com/ajsapplebooty', 'Amazon Wishlist': 'https://www.amazon.com/wishlist/ajapplegate', 'Instagram': 'https://www.instagram.com/realajapplegate'}","{'Relationship status': 'Single', 'Interested in': 'Guys and Girls', 'City and Country': 'Miami, US', 'Pornstar Profile Views': '20,039,149', 'Career Status': 'Active', 'Career Start and End': '2012                        to                        Present', 'Gender': 'Female', 'Birth Place': 'New York City, New York, United States of America', 'Star Sign': 'Libra', 'Measurements': '34B-28-38', 'Height': '5 ft 2 in (157 cm)', 'Weight': '119 lbs (54 kg)', 'Ethnicity': 'White', 'Hair Color': 'Blonde', 'Fake Boobs': 'No', 'Tattoos': 'Yes', 'Piercings': 'Yes', 'Profile Views': '14,495,619', 'Videos Watched': '34'}",241.0,241.0,[239],196.0,199000.0
6,Kayley Gunner,https://www.pornhub.com/pornstar/kayley-gunner,243,168,72300000,https://ei.phncdn.com/(m=eQJ6GCjadOf)(mh=p9Ur51N3Tu_gYU-g)9bdd22ba-fb1e-4e00-803e-e80d68bb88c1.jpg,True,False,"About Kayley Gunner

                                    After serving  as a decorated sergeant in the U.S. Army, this buxom blonde bombshell, not only has a pretty face but is qualified behind a machinegun as well. Kayley Gunner is a true American hero, who is ready to give porn fans a reason to stand up and salute as she enters the world of Adult Entertainment. Kayley is originally from Hawaii, where the surf and the sun were a key part of life for this sexy beach bunny. Kayley Gunner has already written some amazing chapters in her young life, she is excited to show you what she can do in the porn industry.

https://onlyfans.com/kayleygunner","['Brazzers', 'Brazzers Trailers', 'Dogfart Network']","{'Official Site': 'https://onlyfans.com/kayleygunner', 'Twitter': 'https://www.twitter.com/kayleygunner', 'Amazon Wishlist': 'https://www.amazon.com/hz/wishlist/ls/222KQEK9C61OH?ref_=wl_share', 'Instagram': 'https://www.instagram.com/kayleygunnerofficial'}","{'Relationship status': 'Single', 'Interested in': 'Guys and Girls', 'City and Country': 'Los Angeles, US', 'Pornstar Profile Views': '8,031,127', 'Career Status': 'Active', 'Career Start and End': 'to                        Present', 'Gender': 'Female', 'Measurements': '--', 'Profile Views': '8,033,971', 'Videos Watched': '61'}",286.0,243.0,[245],208.0,54700.0
7,Luke Longly,https://www.pornhub.com/pornstar/luke-longly,244,370,928000000,https://ei.phncdn.com/pics/users/519/085/331/avatar1525177394/(m=eQJ6GCjadOf)(mh=nGOSWNdPj92GHnTG)200x200.jpg,True,False,"About Luke Longly

                                    When it comes to Taboo videos, I was the founding father on C4S! My catalog stretches back to 2010...Seen many come and go, many may imitate our Look and Style but Cory and I are OG's here!","['Taboo Heat', 'Pornhub Models', 'Perv Mom']",{'Twitter': 'https://twitter.com/NBProductions1'},"{'Relationship status': 'Taken', 'Interested in': 'Girls', 'City and Country': 'Fort Lauderdale, US', 'Pornstar Profile Views': '44,085,464', 'Career Status': 'Active', 'Career Start and End': '2001                        to                        Present', 'Gender': 'Male', 'Birth Place': 'Florida, United States of America', 'Star Sign': 'Leo', 'Measurements': '--', 'Endowment': '5-7""', 'Height': '5 ft 10 in (178 cm)', 'Weight': '180 lbs (82 kg)', 'Ethnicity': 'White', 'Background': 'Italian', 'Hair Color': 'Blonde', 'Eye Color': 'Blue', 'Foreskin': 'Cut', 'Facial Hair': 'Yes', 'Tattoos': 'No', 'Piercings': 'No', 'Interests and hobbies': 'Lifting, boating, going to Vegas with my Bad Ass Wife Cory Chase! Swoll is the Goal, say no to Dad Bods, you Even Lift Bro?!?!', 'Turn Ons': 'MILFs with big jugs and naughty daughters that love to please Daddy!', 'Turn Offs': 'Stop sending Cory dick pics and people asking how to get into the business! Shoot your own porn and start your own channel! Easy...', 'Profile Views': '48,093,805', 'Videos Watched': '1,019'}",235.0,244.0,[244],234.0,273000.0
8,Ember Snow,https://www.pornhub.com/pornstar/ember-snow,246,443,161000000,https://ei.phncdn.com/pics/users/548/147/151/avatar1529037289/(m=eQJ6GCjadOf)(mh=IIFZJMp1gVTCRMcO)200x200.jpg,True,False,"Ember Snow is a petite Asian pornstar with Philippine origins. At only 5 tall and 94 pounds, you could effortlessly toss this spinner onto a dick and spin her round, and shed be sexually satisfied. Shes got natural 34C tits, a 24-inch waist and a 36-inch ass thats often followed by a trail of drooling guys. Entering the biz in 2017, she tried her hand at porn in about 10 movies that year—mostly in some good old-fashioned hardcore smut and some blowjob action. She hopes to do more performing soon! Ember was just a dorky girl trying to avoid the strict rules at home by going on the Web and playing games. She was very curious about porn even though she wasnt sexually experienced. She wanted to live out her sexual fantasies in a safe environment, and adult entertainment seemed like a good way to do so. The financial opportunities were nice, too. > Before doing boy/girl, Ember did lesbian films exclusively. She likes girls in real life and was once in a lesbian relationship for , so girl/girl came naturally to her…and she cums naturally from it. This built up her fans desire to see her fuck before she graduated to boy/girl. Preferring to be on top when she fucks, shes not a submissive chick. She wants to be in control and use a guy for her own pleasure. She hasnt yet acted out a lot of her kinky sex fantasies, but she will eventually if she sticks around the porn industry for a while and develops her confidence.","['Scam Angels', 'Jerkmate', 'Girlsway']","{'Twitter': 'https://www.twitter.com/@embersnowxxx', 'Instagram': 'https://www.instagram.com/Ember4Ever'}","{'Relationship status': 'Open', 'Interested in': 'Guys and Girls', 'City and Country': 'Los Angeles, US', 'Pornstar Profile Views': '9,594,588', 'Career Status': 'Active', 'Career Start and End': '2017                        to                        Present', 'Gender': 'Female', 'Birth Place': 'Los Angeles, California, United States of America', 'Star Sign': 'Pisces', 'Measurements': '32B-24-34', 'Height': '4 ft 11 in (150 cm)', 'Weight': '90 lbs (41 kg)', 'Ethnicity': 'Asian', 'Background': 'Filipino', 'Hair Color': 'Black', 'Eye Color': 'Brown', 'Fake Boobs': 'No', 'Tattoos': 'No', 'Piercings': 'No', 'Profile Views': '9,928,492', 'Videos Watched': '175'}",310.0,246.0,[240],410.0,99200.0
9,Rebecca Volpetti,https://www.pornhub.com/pornstar/rebecca-volpetti,247,509,170000000,https://ei.phncdn.com/pics/users/u/001/046/636/432/avatar1573924204/(m=eQJ6GCjadOf)(mh=ylJHjeQunoX_V2X_)200x200.jpg,True,False,"Rebecca Volpetti is an Italian sweetheart, as her name suggests, but she also has Romanian background. Shes a siren with red hair and a sweet smile. If you saw her on the street, you might think shes a diligent college student and not a total slut, but youd be wrong! She started doing porn in 2016 when she was 19 years old. She stands 5 feet 5 inches tall and weighs about 114 pounds. Her 33-22-33 measurements look perfect on her beautiful body. Shes been in a lot of European porn movies but she has also shot for major companies like Brazzers and Evil Angel. Rebeccas best friend is fellow Euro pornstar Luna Ramondini, with whom shes done a few hot scenes, like when they sucked Rocco Siffredis lucky cock – talk about a hot encounter! > Rebeccas movies arent necessarily for the faint of heart. She looks like a good girl but make no mistake; shes totally filthy. Shes the girl who gets gangbanged and makes sure theres a cock in her mouth, her pussy and at least one in each hand. Shell try to pleasure everyone involved because thats what she lives for. She wants to be a vehicle for pleasure, which is what makes her such a delight to watch – her undying desire to please. Shell go to great lengths to elicit jizz from any cock that comes her way! She does it all: anal, DP and lez scenes, too!  Rebecca changed her hair from brunette to red and back again, so her style seems to depend on the day. Do the carpets match the drapes? Youll have to watch for yourself to find out.","['LetsDoeIt', 'A Girl Knows', 'Porn World']","{'Twitter': 'https://www.twitter.com/VolpettiRebecca', 'Instagram': 'https://www.instagram.com/volpetti.rebecca'}","{'Relationship status': 'Single', 'Interested in': 'Guys and Girls', 'Pornstar Profile Views': '9,885,767', 'Career Status': 'Active', 'Career Start and End': 'to                        Present', 'Gender': 'Female', 'Birth Place': 'Italy', 'Star Sign': 'Sagittarius', 'Measurements': '30A-26-29', 'Height': '5 ft 5 in (165 cm)', 'Weight': '143 lbs (65 kg)', 'Ethnicity': 'White', 'Hair Color': 'Brunette', 'Fake Boobs': 'No', 'Profile Views': '8,281,231', 'Videos Watched': '41'}",375.0,247.0,[248],389.0,121000.0
